"inteiro","representacao"
4900,"quatro mil e novecentos"
4950,"quatro mil novecentos e cinquenta"
5000,"cinco mil"
5050,"cinco mil e cinquenta"
5100,"cinco mil e cem"
5150,"cinco mil cento e cinquenta"
5200,"cinco mil e duzentos"
5250,"cinco mil duzentos e cinquenta"
5300,"cinco mil e trezentos"
5350,"cinco mil trezentos e cinquenta"
5400,"cinco mil e quatrocentos"
5450,"cinco mil quatrocentos e cinquenta"
5500,"cinco mil e quinhentos"
5550,"cinco mil quinhentos e cinquenta"
5600,"cinco mil e seiscentos"
5650,"cinco mil seiscentos e cinquenta"
5700,"cinco mil e setecentos"
5750,"cinco mil setecentos e cinquenta"
5800,"cinco mil e oitocentos"
5850,"cinco mil oitocentos e cinquenta"
5900,"cinco mil e novecentos"
5950,"cinco mil novecentos e cinquenta"
6000,"seis mil"
6050,"seis mil e cinquenta"
6100,"seis mil e cem"
6150,"seis mil cento e cinquenta"
6200,"seis mil e duzentos"
6250,"seis mil duzentos e cinquenta"
6300,"seis mil e trezentos"
6350,"seis mil trezentos e cinquenta"
6400,"seis mil e quatrocentos"
6450,"seis mil quatrocentos e cinquenta"
6500,"seis mil e quinhentos"
6550,"seis mil quinhentos e cinquenta"
6600,"seis mil e seiscentos"
6650,"seis mil seiscentos e cinquenta"
6700,"seis mil e setecentos"
6750,"seis mil setecentos e cinquenta"
6800,"seis mil e oitocentos"
6850,"seis mil oitocentos e cinquenta"
6900,"seis mil e novecentos"
6950,"seis mil novecentos e cinquenta"
7000,"sete mil"
7050,"sete mil e cinquenta"
7100,"sete mil e cem"
7150,"sete mil cento e cinquenta"
7200,"sete mil e duzentos"
7250,"sete mil duzentos e cinquenta"
7300,"sete mil e trezentos"
7350,"sete mil trezentos e cinquenta"
7400,"sete mil e quatrocentos"
7450,"sete mil quatrocentos e cinquenta"
7500,"sete mil e quinhentos"
7550,"sete mil quinhentos e cinquenta"
7600,"sete mil e seiscentos"
7650,"sete mil seiscentos e cinquenta"
7700,"sete mil e setecentos"
7750,"sete mil setecentos e cinquenta"
7800,"sete mil e oitocentos"
7850,"sete mil oitocentos e cinquenta"
7900,"sete mil e novecentos"
7950,"sete mil novecentos e cinquenta"
8000,"oito mil"
8050,"oito mil e cinquenta"
8100,"oito mil e cem"
8150,"oito mil cento e cinquenta"
8200,"oito mil e duzentos"
8250,"oito mil duzentos e cinquenta"
8300,"oito mil e trezentos"
8350,"oito mil trezentos e cinquenta"
8400,"oito mil e quatrocentos"
8450,"oito mil quatrocentos e cinquenta"
8500,"oito mil e quinhentos"
8550,"oito mil quinhentos e cinquenta"
8600,"oito mil e seiscentos"
8650,"oito mil seiscentos e cinquenta"
8700,"oito mil e setecentos"
8750,"oito mil setecentos e cinquenta"
8800,"oito mil e oitocentos"
8850,"oito mil oitocentos e cinquenta"
8900,"oito mil e novecentos"
8950,"oito mil novecentos e cinquenta"
9000,"nove mil"
9050,"nove mil e cinquenta"
9100,"nove mil e cem"
9150,"nove mil cento e cinquenta"
9200,"nove mil e duzentos"
9250,"nove mil duzentos e cinquenta"
9300,"nove mil e trezentos"
9350,"nove mil trezentos e cinquenta"
9400,"nove mil e quatrocentos"
9450,"nove mil quatrocentos e cinquenta"
9500,"nove mil e quinhentos"
9550,"nove mil quinhentos e cinquenta"
9600,"nove mil e seiscentos"
9650,"nove mil seiscentos e cinquenta"
9700,"nove mil e setecentos"
9750,"nove mil setecentos e cinquenta"
9800,"nove mil e oitocentos"
9850,"nove mil oitocentos e cinquenta"
9900,"nove mil e novecentos"
9950,"nove mil novecentos e cinquenta"
10000,"dez mil"
10050,"dez mil e cinquenta"
10100,"dez mil e cem"
10150,"dez mil cento e cinquenta"
10200,"dez mil e duzentos"
10250,"dez mil duzentos e cinquenta"
10300,"dez mil e trezentos"
10350,"dez mil trezentos e cinquenta"
10400,"dez mil e quatrocentos"
10450,"dez mil quatrocentos e cinquenta"
10500,"dez mil e quinhentos"
10550,"dez mil quinhentos e cinquenta"
10600,"dez mil e seiscentos"
10650,"dez mil seiscentos e cinquenta"
10700,"dez mil e setecentos"
10750,"dez mil setecentos e cinquenta"
10800,"dez mil e oitocentos"
10850,"dez mil oitocentos e cinquenta"
10900,"dez mil e novecentos"
10950,"dez mil novecentos e cinquenta"
11000,"onze mil"
11050,"onze mil e cinquenta"
11100,"onze mil e cem"
11150,"onze mil cento e cinquenta"
11200,"onze mil e duzentos"
11250,"onze mil duzentos e cinquenta"
11300,"onze mil e trezentos"
11350,"onze mil trezentos e cinquenta"
11400,"onze mil e quatrocentos"
11450,"onze mil quatrocentos e cinquenta"
11500,"onze mil e quinhentos"
11550,"onze mil quinhentos e cinquenta"
11600,"onze mil e seiscentos"
11650,"onze mil seiscentos e cinquenta"
11700,"onze mil e setecentos"
11750,"onze mil setecentos e cinquenta"
11800,"onze mil e oitocentos"
11850,"onze mil oitocentos e cinquenta"
11900,"onze mil e novecentos"
11950,"onze mil novecentos e cinquenta"
12000,"doze mil"
12050,"doze mil e cinquenta"
12100,"doze mil e cem"
12150,"doze mil cento e cinquenta"
12200,"doze mil e duzentos"
12250,"doze mil duzentos e cinquenta"
12300,"doze mil e trezentos"
12350,"doze mil trezentos e cinquenta"
12400,"doze mil e quatrocentos"
12450,"doze mil quatrocentos e cinquenta"
12500,"doze mil e quinhentos"
12550,"doze mil quinhentos e cinquenta"
12600,"doze mil e seiscentos"
12650,"doze mil seiscentos e cinquenta"
12700,"doze mil e setecentos"
12750,"doze mil setecentos e cinquenta"
12800,"doze mil e oitocentos"
12850,"doze mil oitocentos e cinquenta"
12900,"doze mil e novecentos"
12950,"doze mil novecentos e cinquenta"
13000,"treze mil"
13050,"treze mil e cinquenta"
13100,"treze mil e cem"
13150,"treze mil cento e cinquenta"
13200,"treze mil e duzentos"
13250,"treze mil duzentos e cinquenta"
13300,"treze mil e trezentos"
13350,"treze mil trezentos e cinquenta"
13400,"treze mil e quatrocentos"
13450,"treze mil quatrocentos e cinquenta"
13500,"treze mil e quinhentos"
13550,"treze mil quinhentos e cinquenta"
13600,"treze mil e seiscentos"
13650,"treze mil seiscentos e cinquenta"
13700,"treze mil e setecentos"
13750,"treze mil setecentos e cinquenta"
13800,"treze mil e oitocentos"
13850,"treze mil oitocentos e cinquenta"
13900,"treze mil e novecentos"
13950,"treze mil novecentos e cinquenta"
14000,"quatorze mil"
14050,"quatorze mil e cinquenta"
14100,"quatorze mil e cem"
14150,"quatorze mil cento e cinquenta"
14200,"quatorze mil e duzentos"
14250,"quatorze mil duzentos e cinquenta"
14300,"quatorze mil e trezentos"
14350,"quatorze mil trezentos e cinquenta"
14400,"quatorze mil e quatrocentos"
14450,"quatorze mil quatrocentos e cinquenta"
14500,"quatorze mil e quinhentos"
14550,"quatorze mil quinhentos e cinquenta"
14600,"quatorze mil e seiscentos"
14650,"quatorze mil seiscentos e cinquenta"
14700,"quatorze mil e setecentos"
14750,"quatorze mil setecentos e cinquenta"
14800,"quatorze mil e oitocentos"
14850,"quatorze mil oitocentos e cinquenta"
14900,"quatorze mil e novecentos"
14950,"quatorze mil novecentos e cinquenta"
15000,"quize mil"
15050,"quize mil e cinquenta"
15100,"quize mil e cem"
15150,"quize mil cento e cinquenta"
15200,"quize mil e duzentos"
15250,"quize mil duzentos e cinquenta"
15300,"quize mil e trezentos"
15350,"quize mil trezentos e cinquenta"
15400,"quize mil e quatrocentos"
15450,"quize mil quatrocentos e cinquenta"
15500,"quize mil e quinhentos"
15550,"quize mil quinhentos e cinquenta"
15600,"quize mil e seiscentos"
15650,"quize mil seiscentos e cinquenta"
15700,"quize mil e setecentos"
15750,"quize mil setecentos e cinquenta"
15800,"quize mil e oitocentos"
15850,"quize mil oitocentos e cinquenta"
15900,"quize mil e novecentos"
15950,"quize mil novecentos e cinquenta"
16000,"dezesseis mil"
16050,"dezesseis mil e cinquenta"
16100,"dezesseis mil e cem"
16150,"dezesseis mil cento e cinquenta"
16200,"dezesseis mil e duzentos"
16250,"dezesseis mil duzentos e cinquenta"
16300,"dezesseis mil e trezentos"
16350,"dezesseis mil trezentos e cinquenta"
16400,"dezesseis mil e quatrocentos"
16450,"dezesseis mil quatrocentos e cinquenta"
16500,"dezesseis mil e quinhentos"
16550,"dezesseis mil quinhentos e cinquenta"
16600,"dezesseis mil e seiscentos"
16650,"dezesseis mil seiscentos e cinquenta"
16700,"dezesseis mil e setecentos"
16750,"dezesseis mil setecentos e cinquenta"
16800,"dezesseis mil e oitocentos"
16850,"dezesseis mil oitocentos e cinquenta"
16900,"dezesseis mil e novecentos"
16950,"dezesseis mil novecentos e cinquenta"
17000,"dezessete mil"
17050,"dezessete mil e cinquenta"
17100,"dezessete mil e cem"
17150,"dezessete mil cento e cinquenta"
17200,"dezessete mil e duzentos"
17250,"dezessete mil duzentos e cinquenta"
17300,"dezessete mil e trezentos"
17350,"dezessete mil trezentos e cinquenta"
17400,"dezessete mil e quatrocentos"
17450,"dezessete mil quatrocentos e cinquenta"
17500,"dezessete mil e quinhentos"
17550,"dezessete mil quinhentos e cinquenta"
17600,"dezessete mil e seiscentos"
17650,"dezessete mil seiscentos e cinquenta"
17700,"dezessete mil e setecentos"
17750,"dezessete mil setecentos e cinquenta"
17800,"dezessete mil e oitocentos"
17850,"dezessete mil oitocentos e cinquenta"
17900,"dezessete mil e novecentos"
17950,"dezessete mil novecentos e cinquenta"
18000,"dezoito mil"
18050,"dezoito mil e cinquenta"
18100,"dezoito mil e cem"
18150,"dezoito mil cento e cinquenta"
18200,"dezoito mil e duzentos"
18250,"dezoito mil duzentos e cinquenta"
18300,"dezoito mil e trezentos"
18350,"dezoito mil trezentos e cinquenta"
18400,"dezoito mil e quatrocentos"
18450,"dezoito mil quatrocentos e cinquenta"
18500,"dezoito mil e quinhentos"
18550,"dezoito mil quinhentos e cinquenta"
18600,"dezoito mil e seiscentos"
18650,"dezoito mil seiscentos e cinquenta"
18700,"dezoito mil e setecentos"
18750,"dezoito mil setecentos e cinquenta"
18800,"dezoito mil e oitocentos"
18850,"dezoito mil oitocentos e cinquenta"
18900,"dezoito mil e novecentos"
18950,"dezoito mil novecentos e cinquenta"
19000,"dezenove mil"
19050,"dezenove mil e cinquenta"
19100,"dezenove mil e cem"
19150,"dezenove mil cento e cinquenta"
19200,"dezenove mil e duzentos"
19250,"dezenove mil duzentos e cinquenta"
19300,"dezenove mil e trezentos"
19350,"dezenove mil trezentos e cinquenta"
19400,"dezenove mil e quatrocentos"
19450,"dezenove mil quatrocentos e cinquenta"
19500,"dezenove mil e quinhentos"
19550,"dezenove mil quinhentos e cinquenta"
19600,"dezenove mil e seiscentos"
19650,"dezenove mil seiscentos e cinquenta"
19700,"dezenove mil e setecentos"
19750,"dezenove mil setecentos e cinquenta"
19800,"dezenove mil e oitocentos"
19850,"dezenove mil oitocentos e cinquenta"
19900,"dezenove mil e novecentos"
19950,"dezenove mil novecentos e cinquenta"
20000,"vinte mil"
20050,"vinte mil e cinquenta"
20100,"vinte mil e cem"
20150,"vinte mil cento e cinquenta"
20200,"vinte mil e duzentos"
20250,"vinte mil duzentos e cinquenta"
20300,"vinte mil e trezentos"
20350,"vinte mil trezentos e cinquenta"
20400,"vinte mil e quatrocentos"
20450,"vinte mil quatrocentos e cinquenta"
20500,"vinte mil e quinhentos"
20550,"vinte mil quinhentos e cinquenta"
20600,"vinte mil e seiscentos"
20650,"vinte mil seiscentos e cinquenta"
20700,"vinte mil e setecentos"
20750,"vinte mil setecentos e cinquenta"
20800,"vinte mil e oitocentos"
20850,"vinte mil oitocentos e cinquenta"
20900,"vinte mil e novecentos"
20950,"vinte mil novecentos e cinquenta"
21000,"vinte e um mil"
21050,"vinte e um mil e cinquenta"
21100,"vinte e um mil e cem"
21150,"vinte e um mil cento e cinquenta"
21200,"vinte e um mil e duzentos"
21250,"vinte e um mil duzentos e cinquenta"
21300,"vinte e um mil e trezentos"
21350,"vinte e um mil trezentos e cinquenta"
21400,"vinte e um mil e quatrocentos"
21450,"vinte e um mil quatrocentos e cinquenta"
21500,"vinte e um mil e quinhentos"
21550,"vinte e um mil quinhentos e cinquenta"
21600,"vinte e um mil e seiscentos"
21650,"vinte e um mil seiscentos e cinquenta"
21700,"vinte e um mil e setecentos"
21750,"vinte e um mil setecentos e cinquenta"
21800,"vinte e um mil e oitocentos"
21850,"vinte e um mil oitocentos e cinquenta"
21900,"vinte e um mil e novecentos"
21950,"vinte e um mil novecentos e cinquenta"
22000,"vinte e dois mil"
22050,"vinte e dois mil e cinquenta"
22100,"vinte e dois mil e cem"
22150,"vinte e dois mil cento e cinquenta"
22200,"vinte e dois mil e duzentos"
22250,"vinte e dois mil duzentos e cinquenta"
22300,"vinte e dois mil e trezentos"
22350,"vinte e dois mil trezentos e cinquenta"
22400,"vinte e dois mil e quatrocentos"
22450,"vinte e dois mil quatrocentos e cinquenta"
22500,"vinte e dois mil e quinhentos"
22550,"vinte e dois mil quinhentos e cinquenta"
22600,"vinte e dois mil e seiscentos"
22650,"vinte e dois mil seiscentos e cinquenta"
22700,"vinte e dois mil e setecentos"
22750,"vinte e dois mil setecentos e cinquenta"
22800,"vinte e dois mil e oitocentos"
22850,"vinte e dois mil oitocentos e cinquenta"
22900,"vinte e dois mil e novecentos"
22950,"vinte e dois mil novecentos e cinquenta"
23000,"vinte e três mil"
23050,"vinte e três mil e cinquenta"
23100,"vinte e três mil e cem"
23150,"vinte e três mil cento e cinquenta"
23200,"vinte e três mil e duzentos"
23250,"vinte e três mil duzentos e cinquenta"
23300,"vinte e três mil e trezentos"
23350,"vinte e três mil trezentos e cinquenta"
23400,"vinte e três mil e quatrocentos"
23450,"vinte e três mil quatrocentos e cinquenta"
23500,"vinte e três mil e quinhentos"
23550,"vinte e três mil quinhentos e cinquenta"
23600,"vinte e três mil e seiscentos"
23650,"vinte e três mil seiscentos e cinquenta"
23700,"vinte e três mil e setecentos"
23750,"vinte e três mil setecentos e cinquenta"
23800,"vinte e três mil e oitocentos"
23850,"vinte e três mil oitocentos e cinquenta"
23900,"vinte e três mil e novecentos"
23950,"vinte e três mil novecentos e cinquenta"
24000,"vinte e quatro mil"
24050,"vinte e quatro mil e cinquenta"
24100,"vinte e quatro mil e cem"
24150,"vinte e quatro mil cento e cinquenta"
24200,"vinte e quatro mil e duzentos"
24250,"vinte e quatro mil duzentos e cinquenta"
24300,"vinte e quatro mil e trezentos"
24350,"vinte e quatro mil trezentos e cinquenta"
24400,"vinte e quatro mil e quatrocentos"
24450,"vinte e quatro mil quatrocentos e cinquenta"
24500,"vinte e quatro mil e quinhentos"
24550,"vinte e quatro mil quinhentos e cinquenta"
24600,"vinte e quatro mil e seiscentos"
24650,"vinte e quatro mil seiscentos e cinquenta"
24700,"vinte e quatro mil e setecentos"
24750,"vinte e quatro mil setecentos e cinquenta"
24800,"vinte e quatro mil e oitocentos"
24850,"vinte e quatro mil oitocentos e cinquenta"
24900,"vinte e quatro mil e novecentos"
24950,"vinte e quatro mil novecentos e cinquenta"
25000,"vinte e cinco mil"
25050,"vinte e cinco mil e cinquenta"
25100,"vinte e cinco mil e cem"
25150,"vinte e cinco mil cento e cinquenta"
25200,"vinte e cinco mil e duzentos"
25250,"vinte e cinco mil duzentos e cinquenta"
25300,"vinte e cinco mil e trezentos"
25350,"vinte e cinco mil trezentos e cinquenta"
25400,"vinte e cinco mil e quatrocentos"
25450,"vinte e cinco mil quatrocentos e cinquenta"
25500,"vinte e cinco mil e quinhentos"
25550,"vinte e cinco mil quinhentos e cinquenta"
25600,"vinte e cinco mil e seiscentos"
25650,"vinte e cinco mil seiscentos e cinquenta"
25700,"vinte e cinco mil e setecentos"
25750,"vinte e cinco mil setecentos e cinquenta"
25800,"vinte e cinco mil e oitocentos"
25850,"vinte e cinco mil oitocentos e cinquenta"
25900,"vinte e cinco mil e novecentos"
25950,"vinte e cinco mil novecentos e cinquenta"
26000,"vinte e seis mil"
26050,"vinte e seis mil e cinquenta"
26100,"vinte e seis mil e cem"
26150,"vinte e seis mil cento e cinquenta"
26200,"vinte e seis mil e duzentos"
26250,"vinte e seis mil duzentos e cinquenta"
26300,"vinte e seis mil e trezentos"
26350,"vinte e seis mil trezentos e cinquenta"
26400,"vinte e seis mil e quatrocentos"
26450,"vinte e seis mil quatrocentos e cinquenta"
26500,"vinte e seis mil e quinhentos"
26550,"vinte e seis mil quinhentos e cinquenta"
26600,"vinte e seis mil e seiscentos"
26650,"vinte e seis mil seiscentos e cinquenta"
26700,"vinte e seis mil e setecentos"
26750,"vinte e seis mil setecentos e cinquenta"
26800,"vinte e seis mil e oitocentos"
26850,"vinte e seis mil oitocentos e cinquenta"
26900,"vinte e seis mil e novecentos"
26950,"vinte e seis mil novecentos e cinquenta"
27000,"vinte e sete mil"
27050,"vinte e sete mil e cinquenta"
27100,"vinte e sete mil e cem"
27150,"vinte e sete mil cento e cinquenta"
27200,"vinte e sete mil e duzentos"
27250,"vinte e sete mil duzentos e cinquenta"
27300,"vinte e sete mil e trezentos"
27350,"vinte e sete mil trezentos e cinquenta"
27400,"vinte e sete mil e quatrocentos"
27450,"vinte e sete mil quatrocentos e cinquenta"
27500,"vinte e sete mil e quinhentos"
27550,"vinte e sete mil quinhentos e cinquenta"
27600,"vinte e sete mil e seiscentos"
27650,"vinte e sete mil seiscentos e cinquenta"
27700,"vinte e sete mil e setecentos"
27750,"vinte e sete mil setecentos e cinquenta"
27800,"vinte e sete mil e oitocentos"
27850,"vinte e sete mil oitocentos e cinquenta"
27900,"vinte e sete mil e novecentos"
27950,"vinte e sete mil novecentos e cinquenta"
28000,"vinte e oito mil"
28050,"vinte e oito mil e cinquenta"
28100,"vinte e oito mil e cem"
28150,"vinte e oito mil cento e cinquenta"
28200,"vinte e oito mil e duzentos"
28250,"vinte e oito mil duzentos e cinquenta"
28300,"vinte e oito mil e trezentos"
28350,"vinte e oito mil trezentos e cinquenta"
28400,"vinte e oito mil e quatrocentos"
28450,"vinte e oito mil quatrocentos e cinquenta"
28500,"vinte e oito mil e quinhentos"
28550,"vinte e oito mil quinhentos e cinquenta"
28600,"vinte e oito mil e seiscentos"
28650,"vinte e oito mil seiscentos e cinquenta"
28700,"vinte e oito mil e setecentos"
28750,"vinte e oito mil setecentos e cinquenta"
28800,"vinte e oito mil e oitocentos"
28850,"vinte e oito mil oitocentos e cinquenta"
28900,"vinte e oito mil e novecentos"
28950,"vinte e oito mil novecentos e cinquenta"
29000,"vinte e nove mil"
29050,"vinte e nove mil e cinquenta"
29100,"vinte e nove mil e cem"
29150,"vinte e nove mil cento e cinquenta"
29200,"vinte e nove mil e duzentos"
29250,"vinte e nove mil duzentos e cinquenta"
29300,"vinte e nove mil e trezentos"
29350,"vinte e nove mil trezentos e cinquenta"
29400,"vinte e nove mil e quatrocentos"
29450,"vinte e nove mil quatrocentos e cinquenta"
29500,"vinte e nove mil e quinhentos"
29550,"vinte e nove mil quinhentos e cinquenta"
29600,"vinte e nove mil e seiscentos"
29650,"vinte e nove mil seiscentos e cinquenta"
29700,"vinte e nove mil e setecentos"
29750,"vinte e nove mil setecentos e cinquenta"
29800,"vinte e nove mil e oitocentos"
29850,"vinte e nove mil oitocentos e cinquenta"
29900,"vinte e nove mil e novecentos"
29950,"vinte e nove mil novecentos e cinquenta"
30000,"trinta mil"
30050,"trinta mil e cinquenta"
30100,"trinta mil e cem"
30150,"trinta mil cento e cinquenta"
30200,"trinta mil e duzentos"
30250,"trinta mil duzentos e cinquenta"
30300,"trinta mil e trezentos"
30350,"trinta mil trezentos e cinquenta"
30400,"trinta mil e quatrocentos"
30450,"trinta mil quatrocentos e cinquenta"
30500,"trinta mil e quinhentos"
30550,"trinta mil quinhentos e cinquenta"
30600,"trinta mil e seiscentos"
30650,"trinta mil seiscentos e cinquenta"
30700,"trinta mil e setecentos"
30750,"trinta mil setecentos e cinquenta"
30800,"trinta mil e oitocentos"
30850,"trinta mil oitocentos e cinquenta"
30900,"trinta mil e novecentos"
30950,"trinta mil novecentos e cinquenta"
31000,"trinta e um mil"
31050,"trinta e um mil e cinquenta"
31100,"trinta e um mil e cem"
31150,"trinta e um mil cento e cinquenta"
31200,"trinta e um mil e duzentos"
31250,"trinta e um mil duzentos e cinquenta"
31300,"trinta e um mil e trezentos"
31350,"trinta e um mil trezentos e cinquenta"
31400,"trinta e um mil e quatrocentos"
31450,"trinta e um mil quatrocentos e cinquenta"
31500,"trinta e um mil e quinhentos"
31550,"trinta e um mil quinhentos e cinquenta"
31600,"trinta e um mil e seiscentos"
31650,"trinta e um mil seiscentos e cinquenta"
31700,"trinta e um mil e setecentos"
31750,"trinta e um mil setecentos e cinquenta"
31800,"trinta e um mil e oitocentos"
31850,"trinta e um mil oitocentos e cinquenta"
31900,"trinta e um mil e novecentos"
31950,"trinta e um mil novecentos e cinquenta"
32000,"trinta e dois mil"
32050,"trinta e dois mil e cinquenta"
32100,"trinta e dois mil e cem"
32150,"trinta e dois mil cento e cinquenta"
32200,"trinta e dois mil e duzentos"
32250,"trinta e dois mil duzentos e cinquenta"
32300,"trinta e dois mil e trezentos"
32350,"trinta e dois mil trezentos e cinquenta"
32400,"trinta e dois mil e quatrocentos"
32450,"trinta e dois mil quatrocentos e cinquenta"
32500,"trinta e dois mil e quinhentos"
32550,"trinta e dois mil quinhentos e cinquenta"
32600,"trinta e dois mil e seiscentos"
32650,"trinta e dois mil seiscentos e cinquenta"
32700,"trinta e dois mil e setecentos"
32750,"trinta e dois mil setecentos e cinquenta"
32800,"trinta e dois mil e oitocentos"
32850,"trinta e dois mil oitocentos e cinquenta"
32900,"trinta e dois mil e novecentos"
32950,"trinta e dois mil novecentos e cinquenta"
33000,"trinta e três mil"
33050,"trinta e três mil e cinquenta"
33100,"trinta e três mil e cem"
33150,"trinta e três mil cento e cinquenta"
33200,"trinta e três mil e duzentos"
33250,"trinta e três mil duzentos e cinquenta"
33300,"trinta e três mil e trezentos"
33350,"trinta e três mil trezentos e cinquenta"
33400,"trinta e três mil e quatrocentos"
33450,"trinta e três mil quatrocentos e cinquenta"
33500,"trinta e três mil e quinhentos"
33550,"trinta e três mil quinhentos e cinquenta"
33600,"trinta e três mil e seiscentos"
33650,"trinta e três mil seiscentos e cinquenta"
33700,"trinta e três mil e setecentos"
33750,"trinta e três mil setecentos e cinquenta"
33800,"trinta e três mil e oitocentos"
33850,"trinta e três mil oitocentos e cinquenta"
33900,"trinta e três mil e novecentos"
33950,"trinta e três mil novecentos e cinquenta"
34000,"trinta e quatro mil"
34050,"trinta e quatro mil e cinquenta"
34100,"trinta e quatro mil e cem"
34150,"trinta e quatro mil cento e cinquenta"
34200,"trinta e quatro mil e duzentos"
34250,"trinta e quatro mil duzentos e cinquenta"
34300,"trinta e quatro mil e trezentos"
34350,"trinta e quatro mil trezentos e cinquenta"
34400,"trinta e quatro mil e quatrocentos"
34450,"trinta e quatro mil quatrocentos e cinquenta"
34500,"trinta e quatro mil e quinhentos"
34550,"trinta e quatro mil quinhentos e cinquenta"
34600,"trinta e quatro mil e seiscentos"
34650,"trinta e quatro mil seiscentos e cinquenta"
34700,"trinta e quatro mil e setecentos"
34750,"trinta e quatro mil setecentos e cinquenta"
34800,"trinta e quatro mil e oitocentos"
34850,"trinta e quatro mil oitocentos e cinquenta"
34900,"trinta e quatro mil e novecentos"
34950,"trinta e quatro mil novecentos e cinquenta"
35000,"trinta e cinco mil"
35050,"trinta e cinco mil e cinquenta"
35100,"trinta e cinco mil e cem"
35150,"trinta e cinco mil cento e cinquenta"
35200,"trinta e cinco mil e duzentos"
35250,"trinta e cinco mil duzentos e cinquenta"
35300,"trinta e cinco mil e trezentos"
35350,"trinta e cinco mil trezentos e cinquenta"
35400,"trinta e cinco mil e quatrocentos"
35450,"trinta e cinco mil quatrocentos e cinquenta"
35500,"trinta e cinco mil e quinhentos"
35550,"trinta e cinco mil quinhentos e cinquenta"
35600,"trinta e cinco mil e seiscentos"
35650,"trinta e cinco mil seiscentos e cinquenta"
35700,"trinta e cinco mil e setecentos"
35750,"trinta e cinco mil setecentos e cinquenta"
35800,"trinta e cinco mil e oitocentos"
35850,"trinta e cinco mil oitocentos e cinquenta"
35900,"trinta e cinco mil e novecentos"
35950,"trinta e cinco mil novecentos e cinquenta"
36000,"trinta e seis mil"
36050,"trinta e seis mil e cinquenta"
36100,"trinta e seis mil e cem"
36150,"trinta e seis mil cento e cinquenta"
36200,"trinta e seis mil e duzentos"
36250,"trinta e seis mil duzentos e cinquenta"
36300,"trinta e seis mil e trezentos"
36350,"trinta e seis mil trezentos e cinquenta"
36400,"trinta e seis mil e quatrocentos"
36450,"trinta e seis mil quatrocentos e cinquenta"
36500,"trinta e seis mil e quinhentos"
